year,month,temperature_2m,relative_humidity_2m,precipitation,surface_pressure
2022,1,20.3,86.0,0.0,910.6
2022,2,20.5,86.0,0.0,911.3
2022,3,21.5,72.0,0.0,912.1500000000001
2022,4,19.75,76.0,0.0,913.1
2022,5,15.5,75.0,0.0,913.7
2022,6,14.9,79.0,0.0,914.0
2022,7,15.1,70.0,0.0,915.6
2022,8,16.4,65.0,0.0,915.3
2022,9,18.1,67.0,0.0,913.7
2022,10,20.0,75.0,0.0,912.5
2022,11,18.9,75.0,0.0,911.8
2022,12,19.9,83.0,0.0,910.4
2023,1,19.65,88.0,0.1,911.5
2023,2,20.7,88.0,0.0,912.5
2023,3,20.3,85.0,0.0,913.3
2023,4,18.75,83.0,0.0,912.6
2023,5,16.2,79.0,0.0,914.3499999999999
2023,6,14.2,84.0,0.0,915.5
2023,7,14.7,77.0,0.0,916.0
2023,8,17.05,73.0,0.0,915.1
2023,9,21.4,63.0,0.0,914.0
2023,10,21.7,78.0,0.0,912.2
2023,11,22.6,70.0,0.0,911.4
2023,12,22.3,74.0,0.0,911.7
